latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,brightness,frp,log_frp,delta_brightness,confidence_enc,land_use_type,distance_to_industrial,historical_frequency,time_of_day,season,month,category
8.97013,80.69147,345.28,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,311.26,D,345.28,6.62,2.030776369698555,34.02,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.49397,80.63341,341.23,0.48,0.48,2026-08-27,741,N,VIIRS,n,2.0NRT,292.78,D,341.23,4.77,1.7526720805200082,48.45,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.40721,80.75729,303.08,0.38,0.36,2026-08-27,2019,N,VIIRS,n,2.0NRT,285.68,N,303.08,0.38,0.3220834991691133,17.4,1,unknown,50000.0,1,Evening,Monsoon,8,Agricultural Burning
8.41052,80.75783,302.76,0.38,0.36,2026-08-27,2019,N,VIIRS,n,2.0NRT,286.31,N,302.76,0.38,0.3220834991691133,16.45,1,unknown,50000.0,1,Evening,Monsoon,8,Agricultural Burning
8.11868,80.81451,303.83,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,290.23,N,303.83,2.69,1.3056264580524357,13.6,1,unknown,50000.0,4,Evening,Monsoon,8,Industrial (Normal)
8.11915,80.81272,304.91,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,290.01,N,304.91,1.65,0.9745596399981308,14.9,1,unknown,50000.0,4,Evening,Monsoon,8,Industrial (Normal)
8.1194,80.80952,307.31,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,289.69,N,307.31,1.75,1.0116009116784799,17.62,1,unknown,50000.0,4,Evening,Monsoon,8,Industrial (Normal)
8.1199,80.80773,309.11,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,290.57,N,309.11,1.65,0.9745596399981308,18.54,1,unknown,50000.0,4,Evening,Monsoon,8,Industrial (Normal)
8.12011,80.80454,304.51,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,291.61,N,304.51,1.75,1.0116009116784799,12.9,1,unknown,50000.0,1,Evening,Monsoon,8,Agricultural Burning
8.12065,80.80275,305.22,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,292.45,N,305.22,2.23,1.172482137234565,12.77,1,unknown,50000.0,1,Evening,Monsoon,8,Agricultural Burning
8.12404,80.80512,309.4,0.55,0.43,2026-08-28,2000,N,VIIRS,n,2.0NRT,292.18,N,309.4,1.75,1.0116009116784799,17.22,1,unknown,50000.0,4,Evening,Monsoon,8,Industrial (Normal)
8.2525,80.51107,330.03,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,304.77,D,330.03,2.72,1.3137236682850553,25.26,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.35775,80.80066,337.97,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,310.22,D,337.97,8.27,2.2267833795777636,27.75,0,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.42869,80.62504,341.14,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.86,D,341.14,5.61,1.888583653863595,32.28,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.4316,80.79919,341.2,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,309.0,D,341.2,6.05,1.9530276168241774,32.2,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.43458,80.5528,331.43,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,304.61,D,331.43,2.47,1.244154593958768,26.82,0,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.44716,80.87873,338.83,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,306.9,D,338.83,7.37,2.124653884501384,31.93,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.4479,80.75037,335.29,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,308.52,D,335.29,3.6,1.5260563034950492,26.77,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.46928,80.77913,346.94,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,307.83,D,346.94,7.93,2.189416394888408,39.11,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.47485,80.77115,331.63,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,303.02,D,331.63,1.53,0.9282193027394289,28.61,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.47952,80.82387,331.96,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,303.15,D,331.96,4.13,1.6351056591826783,28.81,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
